demande_id,date_demande,service,priorite,delai_heures,satisfaction,cout_estime,statut
S-001,2026-02-01,Informatique,Normale,18,4.3,120,Fermee
S-002,2026-02-01,Entretien,Elevee,42,3.6,350,Fermee
S-003,2026-02-02,Bibliotheque,Normale,12,4.8,80,Fermee
S-004,2026-02-03,Informatique,Elevee,9,4.5,150,Fermee
S-005,2026-02-04,Salles,Normale,31,3.9,210,Fermee
S-006,2026-02-05,Entretien,Basse,72,3.1,480,Fermee
S-007,2026-02-06,Bibliotheque,Normale,16,4.6,95,Fermee
S-008,2026-02-07,Informatique,Basse,27,4.0,110,Fermee
S-009,2026-02-08,Salles,Elevee,22,4.1,260,Fermee
S-010,2026-02-09,Entretien,Normale,55,3.4,410,Fermee
S-011,2026-02-10,Bibliotheque,Basse,20,,70,Fermee
S-012,2026-02-11,Informatique,Normale,14,4.4,130,Fermee
S-013,2026-02-12,Salles,Normale,38,3.7,240,Fermee
S-014,2026-02-13,Entretien,Elevee,48,3.5,520,Fermee
S-015,2026-02-14,Bibliotheque,Normale,11,4.9,90,Fermee
S-016,2026-02-15,Informatique,Elevee,8,4.7,160,Fermee
S-017,2026-02-16,Salles,Basse,44,3.3,300,Fermee
S-018,2026-02-17,Entretien,Normale,63,3.0,450,Fermee
S-019,2026-02-18,Bibliotheque,Elevee,10,4.8,100,Fermee
S-020,2026-02-19,Informatique,Normale,21,4.2,140,Fermee
S-021,2026-02-20,Salles,Elevee,19,4.0,280,Fermee
S-022,2026-02-21,Entretien,Basse,80,2.9,560,Fermee
S-023,2026-02-22,Bibliotheque,Basse,24,4.5,75,Fermee
S-024,2026-02-23,Informatique,Normale,17,4.3,125,Fermee
