equipement_id,ville,type_equipement,statut,annee_installation,cout_entretien,mois_inspection
EQ-001,Quebec,Fontaine,actif,2012,"1 250,00",janvier
EQ-002,Quebec,Banc,Actif,2019,"350,00",février
EQ-003,Levis,Luminaire,maintenance,2015,"980,00",mars
EQ-004,Sherbrooke,fontaine,actif,1890,"1 500,00",avril
EQ-005,Gatineau,Abri bus,hors service,2018,"2 200,00",mai
EQ-006,Quebec,Banc,actif,2028,"400,00",juin
EQ-007,Trois-Rivieres,Luminaire,actif,2011,"875,00",juillet
EQ-008,Levis,Module jeux,maintenance,2016,"3 100,00",aout
EQ-009,Sherbrooke,Abri-bus,actif,2014,"2 000,00",septembre
EQ-010,Gatineau,Luminaire,actif,2013,"-999",octobre
EQ-011,Quebec,Module de jeux,hors service,2017,"3 500,00",novembre
EQ-012,Trois-Rivieres,Banc,actif,2010,"320,00",decembre
EQ-013,Levis,Fontaine,maintenance,2015,"1 100,00",janvier
EQ-014,Sherbrooke,Luminaire,actif,2012,"890,00",février
EQ-015,Gatineau,Banc,actif,2016,"360,00",mars
EQ-016,Quebec,Abri bus,maintenance,2014,"2 300,00",avril
