quartier,type_signalement,mois,nb_signalements,niveau_detail_public,commentaire_public
Saint-Roch,bruit,2026-01,42,quartier,"Hausse observee pres de plusieurs chantiers."
Saint-Roch,logement,2026-01,18,quartier,"Signalements regroupes pour eviter une adresse precise."
Limoilou,bruit,2026-01,31,quartier,"Contexte urbain dense."
Limoilou,dechets,2026-01,26,quartier,"Plusieurs rues concernees."
Sainte-Foy,transport,2026-01,54,quartier,"Signalements autour de grands axes."
Sainte-Foy,logement,2026-01,9,quartier,"Petit effectif a interpreter prudemment."
Beauport,dechets,2026-01,23,quartier,"Signalements disperses."
Beauport,transport,2026-01,17,quartier,"Pas de localisation individuelle."
Charlesbourg,bruit,2026-01,12,quartier,"Petit effectif."
Charlesbourg,logement,2026-01,7,masquer,"Effectif trop faible pour publier le detail."
La Cite-Limoilou,securite,2026-01,5,masquer,"Effectif trop faible pour publier le detail."
Sillery,logement,2026-01,3,masquer,"Risque de stigmatisation locale."
