city,region,month,visits,loans,workshops,open_hours,rating
Quebec,Capitale-Nationale,January,1240,3180,8,176,4.2
Quebec,Capitale-Nationale,February,1315,3350,10,168,4.4
Levis,Chaudiere-Appalaches,January,820,2040,6,150,4.1
Levis,Chaudiere-Appalaches,February,875,2190,7,148,4.0
Trois-Rivieres,Mauricie,January,690,1780,5,142,3.9
Trois-Rivieres,Mauricie,February,NA,1825,6,140,4.0
Sherbrooke,Estrie,January,980,2460,9,160,4.3
Sherbrooke,Estrie,February,1045,2605,11,158,4.5
Saguenay,Saguenay-Lac-Saint-Jean,January,610,1510,4,132,3.8
Saguenay,Saguenay-Lac-Saint-Jean,February,655,1600,5,130,NA
Gatineau,Outaouais,January,1175,2980,9,170,4.1
Gatineau,Outaouais,February,1220,3065,12,168,4.3
