application_id,program,cycle,status,annual_income,requested_amount,gpa,fsa_code
B-001,Statistics,Undergraduate,complete,18500,"2 500.00",3.7,G1V
B-002,Data Science,Master,Complete,24000,"3 000.00",3.9,G1K
B-003,data sci,Master,incomplete,31000,"1 800.00",3.4,H2X
B-004,Mathematics,Undergraduate,complete,-999,"2 200.00",3.2,G1V
B-005,Statistics,Undergraduate,pending,42000,"0.00",2.8,J8X
B-006,Mathematics,PhD,Complete,28000,"4 500.00",4.1,H3A
B-007,Data science,Master,complete,26000,"3 200.00",3.6,G1V
B-008,Computer Science,Undergraduate,incomplete,39000,"1 500.00",NA,G1K
B-009,Computer Science,Undergraduate,complete,21500,"2 750.00",3.3,J8X
B-010,Statistics,Master,complete,999999,"3 800.00",3.8,G1V1234
B-011,Data Science,Master,pending,30500,"2 100.00",3.5,H2X
B-012,Mathematics,Undergraduate,complete,18750,"2 900.00",3.1,G1V
B-013,Statistics,Undergraduate,rejected,52000,"0.00",2.6,G1K
B-014,Computer Science,PhD,complete,24500,"4 000.00",3.9,H3A
B-015,Data science,Master,complete,27000,"3 100.00",3.7,G1V
B-016,Mathematics,Undergraduate,incomplete,33000,"1 700.00",3.0,J8X
