dossier_id,region,discipline,taille_organisme,premiere_demande,budget_demande,score_comite,decision
S001,Capitale-Nationale,Theatre,Grand,Non,82000,86,Acceptee
S002,Capitale-Nationale,Musique,Petit,Oui,24000,72,Acceptee
S003,Bas-Saint-Laurent,Arts visuels,Petit,Oui,18000,68,Refusee
S004,Montreal,Danse,Grand,Non,91000,88,Acceptee
S005,Outaouais,Theatre,Moyen,Non,45000,74,Acceptee
S006,Cote-Nord,Musique,Petit,Oui,22000,64,Refusee
S007,Saguenay-Lac-Saint-Jean,Arts visuels,Moyen,Oui,31000,70,Refusee
S008,Montreal,Litterature,Grand,Non,76000,82,Acceptee
S009,Chaudiere-Appalaches,Theatre,Petit,Oui,26000,66,Refusee
S010,Capitale-Nationale,Danse,Moyen,Non,52000,78,Acceptee
S011,Bas-Saint-Laurent,Musique,Petit,Non,19000,71,Acceptee
S012,Outaouais,Arts visuels,Moyen,Oui,36000,69,Refusee
S013,Montreal,Theatre,Grand,Non,88000,90,Acceptee
S014,Cote-Nord,Litterature,Petit,Oui,16000,63,Refusee
S015,Saguenay-Lac-Saint-Jean,Danse,Petit,Oui,28000,67,Refusee
S016,Chaudiere-Appalaches,Musique,Moyen,Non,41000,75,Acceptee
S017,Capitale-Nationale,Arts visuels,Moyen,Oui,34000,73,Acceptee
S018,Montreal,Musique,Grand,Non,95000,87,Acceptee
S019,Outaouais,Litterature,Petit,Oui,21000,65,Refusee
S020,Bas-Saint-Laurent,Theatre,Moyen,Non,39000,77,Acceptee
S021,Cote-Nord,Arts visuels,Petit,Non,17000,69,Refusee
S022,Saguenay-Lac-Saint-Jean,Musique,Moyen,Non,44000,76,Acceptee
S023,Chaudiere-Appalaches,Litterature,Petit,Oui,20000,62,Refusee
S024,Capitale-Nationale,Theatre,Petit,Oui,30000,70,Refusee
S025,Montreal,Arts visuels,Grand,Non,83000,84,Acceptee
S026,Outaouais,Danse,Moyen,Oui,37000,71,Refusee
S027,Bas-Saint-Laurent,Litterature,Petit,Oui,15000,66,Refusee
S028,Cote-Nord,Theatre,Moyen,Non,42000,72,Acceptee
S029,Saguenay-Lac-Saint-Jean,Arts visuels,Petit,Non,23000,70,Acceptee
S030,Chaudiere-Appalaches,Danse,Moyen,Oui,35000,68,Refusee
S031,Capitale-Nationale,Musique,Grand,Non,79000,83,Acceptee
S032,Montreal,Litterature,Moyen,Oui,38000,74,Acceptee
S033,Outaouais,Musique,Petit,Non,25000,73,Acceptee
S034,Bas-Saint-Laurent,Danse,Petit,Oui,19000,61,Refusee
S035,Cote-Nord,Litterature,Moyen,Oui,33000,67,Refusee
S036,Saguenay-Lac-Saint-Jean,Theatre,Grand,Non,70000,81,Acceptee
