request_id,request_date,service,priority,delay_hours,satisfaction,estimated_cost,status
S-001,2026-02-01,IT,Normal,18,4.3,120,Closed
S-002,2026-02-01,Maintenance,High,42,3.6,350,Closed
S-003,2026-02-02,Library,Normal,12,4.8,80,Closed
S-004,2026-02-03,IT,High,9,4.5,150,Closed
S-005,2026-02-04,Rooms,Normal,31,3.9,210,Closed
S-006,2026-02-05,Maintenance,Low,72,3.1,480,Closed
S-007,2026-02-06,Library,Normal,16,4.6,95,Closed
S-008,2026-02-07,IT,Low,27,4.0,110,Closed
S-009,2026-02-08,Rooms,High,22,4.1,260,Closed
S-010,2026-02-09,Maintenance,Normal,55,3.4,410,Closed
S-011,2026-02-10,Library,Low,20,,70,Closed
S-012,2026-02-11,IT,Normal,14,4.4,130,Closed
S-013,2026-02-12,Rooms,Normal,38,3.7,240,Closed
S-014,2026-02-13,Maintenance,High,48,3.5,520,Closed
S-015,2026-02-14,Library,Normal,11,4.9,90,Closed
S-016,2026-02-15,IT,High,8,4.7,160,Closed
S-017,2026-02-16,Rooms,Low,44,3.3,300,Closed
S-018,2026-02-17,Maintenance,Normal,63,3.0,450,Closed
S-019,2026-02-18,Library,High,10,4.8,100,Closed
S-020,2026-02-19,IT,Normal,21,4.2,140,Closed
S-021,2026-02-20,Rooms,High,19,4.0,280,Closed
S-022,2026-02-21,Maintenance,Low,80,2.9,560,Closed
S-023,2026-02-22,Library,Low,24,4.5,75,Closed
S-024,2026-02-23,IT,Normal,17,4.3,125,Closed
