respondent_id,program,year_level,age,gender,study_hours,stress_score,publication_consent,free_text_comment
E001,Statistics,1,19,F,12,6,yes,"Prefers not to be quoted."
E002,Computer science,2,21,M,18,7,yes,"Also works evenings."
E003,Mathematics,1,18,F,10,5,yes,"No comment."
E004,Statistics,3,24,Not specified,22,8,yes,"Discussed with Camille from group A."
E005,Computer science,1,20,F,16,6,no,"Do not publish my comment."
E006,Data science,2,22,M,20,7,yes,"Session project is demanding."
E007,Mathematics,2,23,F,14,4,yes,"No comment."
E008,Data science,3,26,F,28,9,yes,"Internship at the same time."
E009,Statistics,2,21,M,17,6,yes,"No comment."
E010,Computer science,3,25,M,24,8,yes,"Mentions a specific employer."
E011,Data science,1,19,F,15,5,yes,"No comment."
E012,Mathematics,3,27,Not specified,19,7,yes,"Needs more examples."
E013,Statistics,1,18,M,9,4,yes,"No comment."
E014,Computer science,2,22,F,21,7,yes,"Identifiable lab team."
E015,Data science,2,23,M,18,6,yes,"No comment."
E016,Mathematics,1,20,F,13,5,yes,"No comment."
