application_id,region,discipline,organization_size,first_application,requested_budget,committee_score,decision
G001,Capitale-Nationale,Theatre,Large,No,82000,86,Accepted
G002,Capitale-Nationale,Music,Small,Yes,24000,72,Accepted
G003,Bas-Saint-Laurent,Visual arts,Small,Yes,18000,68,Rejected
G004,Montreal,Dance,Large,No,91000,88,Accepted
G005,Outaouais,Theatre,Medium,No,45000,74,Accepted
G006,Cote-Nord,Music,Small,Yes,22000,64,Rejected
G007,Saguenay-Lac-Saint-Jean,Visual arts,Medium,Yes,31000,70,Rejected
G008,Montreal,Literature,Large,No,76000,82,Accepted
G009,Chaudiere-Appalaches,Theatre,Small,Yes,26000,66,Rejected
G010,Capitale-Nationale,Dance,Medium,No,52000,78,Accepted
G011,Bas-Saint-Laurent,Music,Small,No,19000,71,Accepted
G012,Outaouais,Visual arts,Medium,Yes,36000,69,Rejected
G013,Montreal,Theatre,Large,No,88000,90,Accepted
G014,Cote-Nord,Literature,Small,Yes,16000,63,Rejected
G015,Saguenay-Lac-Saint-Jean,Dance,Small,Yes,28000,67,Rejected
G016,Chaudiere-Appalaches,Music,Medium,No,41000,75,Accepted
G017,Capitale-Nationale,Visual arts,Medium,Yes,34000,73,Accepted
G018,Montreal,Music,Large,No,95000,87,Accepted
G019,Outaouais,Literature,Small,Yes,21000,65,Rejected
G020,Bas-Saint-Laurent,Theatre,Medium,No,39000,77,Accepted
G021,Cote-Nord,Visual arts,Small,No,17000,69,Rejected
G022,Saguenay-Lac-Saint-Jean,Music,Medium,No,44000,76,Accepted
G023,Chaudiere-Appalaches,Literature,Small,Yes,20000,62,Rejected
G024,Capitale-Nationale,Theatre,Small,Yes,30000,70,Rejected
G025,Montreal,Visual arts,Large,No,83000,84,Accepted
G026,Outaouais,Dance,Medium,Yes,37000,71,Rejected
G027,Bas-Saint-Laurent,Literature,Small,Yes,15000,66,Rejected
G028,Cote-Nord,Theatre,Medium,No,42000,72,Accepted
G029,Saguenay-Lac-Saint-Jean,Visual arts,Small,No,23000,70,Accepted
G030,Chaudiere-Appalaches,Dance,Medium,Yes,35000,68,Rejected
G031,Capitale-Nationale,Music,Large,No,79000,83,Accepted
G032,Montreal,Literature,Medium,Yes,38000,74,Accepted
G033,Outaouais,Music,Small,No,25000,73,Accepted
G034,Bas-Saint-Laurent,Dance,Small,Yes,19000,61,Rejected
G035,Cote-Nord,Literature,Medium,Yes,33000,67,Rejected
G036,Saguenay-Lac-Saint-Jean,Theatre,Large,No,70000,81,Accepted
