repondant_id,programme,niveau,age,genre,heures_etude,score_stress,consentement_publication,commentaire_libre
E001,Statistique,1,19,F,12,6,oui,"Prefere ne pas etre citee."
E002,Informatique,2,21,M,18,7,oui,"Travaille aussi le soir."
E003,Mathematiques,1,18,F,10,5,oui,"Aucun commentaire."
E004,Statistique,3,24,Non precise,22,8,oui,"A discute avec Camille du groupe A."
E005,Informatique,1,20,F,16,6,non,"Ne pas publier mon commentaire."
E006,Science des donnees,2,22,M,20,7,oui,"Projet de session exigeant."
E007,Mathematiques,2,23,F,14,4,oui,"Aucun commentaire."
E008,Science des donnees,3,26,F,28,9,oui,"Stage en meme temps."
E009,Statistique,2,21,M,17,6,oui,"Aucun commentaire."
E010,Informatique,3,25,M,24,8,oui,"Mentionne un employeur precis."
E011,Science des donnees,1,19,F,15,5,oui,"Aucun commentaire."
E012,Mathematiques,3,27,Non precise,19,7,oui,"Besoin de plus d'exemples."
E013,Statistique,1,18,M,9,4,oui,"Aucun commentaire."
E014,Informatique,2,22,F,21,7,oui,"Equipe de laboratoire identifiable."
E015,Science des donnees,2,23,M,18,6,oui,"Aucun commentaire."
E016,Mathematiques,1,20,F,13,5,oui,"Aucun commentaire."
