date,categorie,produit,prix_unitaire,quantite,rabais,satisfaction
2026-01-15,papeterie,cahier,4.50,80,0.00,4
2026-01-15,papeterie,stylo,1.75,120,0.05,4
2026-01-15,alimentation,cafe,2.25,210,0.00,5
2026-01-15,alimentation,sandwich,6.75,55,0.10,3
2026-01-16,technologie,cle_usb,12.00,18,0.15,4
2026-01-16,technologie,ecouteurs,28.00,9,0.20,3
2026-01-16,vetements,chandail,32.00,14,0.00,5
2026-01-16,vetements,tuque,18.00,22,0.10,4
2026-01-17,papeterie,surligneur,2.10,64,0.00,4
2026-01-17,alimentation,soupe,4.25,47,0.05,3
2026-01-17,technologie,chargeur,19.50,11,0.10,2
2026-01-17,vetements,gants,16.00,17,0.00,4
