housing_id,neighbourhood,area_m2,year_built,occupants,heating_type,neighbourhood_median_income,annual_kwh
H001,Montcalm,62,1988,1,Electricity,64000,11800
H002,Limoilou,74,1975,2,Electricity,52000,14300
H003,Sainte-Foy,91,2006,3,Electricity,71000,16150
H004,Vanier,58,1968,2,Oil,47000,15600
H005,Charlesbourg,113,1992,4,Electricity,59000,20550
H006,Beauport,105,1980,3,Gas,56000,18800
H007,Sillery,130,2012,4,Electricity,82000,21400
H008,Saint-Roch,46,1948,1,Electricity,45000,11250
H009,Cap-Rouge,124,2004,5,Gas,76000,22600
H010,Neufchatel,88,1985,3,Electricity,57000,17100
H011,Maizerets,67,1971,2,Electricity,49000,13950
H012,Sainte-Foy,98,2018,2,Electricity,71000,15000
H013,Limoilou,55,1959,1,Gas,52000,12500
H014,Charlesbourg,116,1999,4,Gas,59000,20200
H015,Vanier,72,1962,3,Oil,47000,18400
H016,Montcalm,84,2001,2,Electricity,64000,14600
H017,Beauport,96,1978,4,Electricity,56000,19050
H018,Saint-Roch,50,1935,1,Oil,45000,13700
H019,Sillery,142,2015,3,Electricity,82000,21950
H020,Neufchatel,79,1990,2,Gas,57000,15150
H021,Cap-Rouge,118,2009,4,Electricity,76000,19850
H022,Maizerets,63,1965,2,Gas,49000,14800
H023,Montcalm,70,1997,1,Electricity,64000,12100
H024,Beauport,109,1987,5,Electricity,56000,21650
H025,Sainte-Foy,102,2011,3,Gas,71000,17600
H026,Limoilou,69,1974,2,Oil,52000,16100
H027,Charlesbourg,121,2003,4,Electricity,59000,20400
H028,Saint-Roch,44,1942,1,Electricity,45000,10800
H029,Sillery,136,2020,4,Electricity,82000,20750
H030,Vanier,81,1969,3,Gas,47000,17700
H031,Cap-Rouge,128,2016,5,Electricity,76000,22100
H032,Maizerets,60,1955,2,Oil,49000,15850
