response_id,edition,neighbourhood,activity_type,comment,participation,accessibility,recommendation
A001,1,Montcalm,Writing,"Atelier chaleureux, consignes claires et bonne ambiance.",5,5,5
A002,1,Limoilou,Photo,"Materiel interessant, mais le rythme etait trop rapide.",3,4,3
A003,1,Vanier,Music,"J'ai eu du plaisir, l'animateur etait encourageant.",5,4,5
A004,1,Beauport,Theatre,"Salle difficile a trouver et accueil un peu froid.",2,2,2
A005,2,Montcalm,Photo,"Exemples concrets, j'ai compris comment cadrer mes images.",5,5,5
A006,2,Limoilou,Writing,"Trop de theorie, pas assez de temps pour pratiquer.",2,3,2
A007,2,Vanier,Theatre,"Exercices dynamiques, groupe motive, tres bonne seance.",5,4,5
A008,2,Beauport,Music,"L'activite etait agreable, mais le son etait faible.",4,3,4
A009,3,Montcalm,Music,"J'ai beaucoup appris, la progression etait naturelle.",5,5,5
A010,3,Limoilou,Theatre,"Je me suis senti perdu dans les consignes.",2,2,2
A011,3,Vanier,Writing,"Bonne retroaction, commentaires utiles et respectueux.",5,5,5
A012,3,Beauport,Photo,"L'atelier a commence en retard, experience frustrante.",2,3,2
A013,4,Montcalm,Theatre,"Ambiance positive, exercices accessibles et amusants.",5,5,5
A014,4,Limoilou,Music,"Contenu riche, mais plusieurs explications etaient floues.",3,2,3
A015,4,Vanier,Photo,"Tres bon accompagnement, j'ai gagne en confiance.",5,5,5
A016,4,Beauport,Writing,"Local bruyant, concentration difficile.",2,3,2
A017,5,Montcalm,Writing,"Atelier inspirant, activite bien structuree.",5,5,5
A018,5,Limoilou,Photo,"La seance etait correcte, mais il manquait des exemples.",3,3,3
A019,5,Vanier,Music,"Groupe accueillant, chansons motivantes, belle energie.",5,4,5
A020,5,Beauport,Theatre,"Trop peu de temps pour recevoir une retroaction.",2,3,2
A021,6,Montcalm,Photo,"Tres belle progression, je recommande l'activite.",5,5,5
A022,6,Limoilou,Theatre,"Meilleure seance que la derniere, consignes plus claires.",4,4,4
A023,6,Vanier,Writing,"Activite utile pour oser partager un texte.",5,4,5
A024,6,Beauport,Music,"Organisation confuse, horaire change sans message clair.",1,1,1
