equipment_id,city,equipment_type,status,installation_year,maintenance_cost,inspection_month
EQ-001,Quebec City,Fountain,active,2012,"1 250.00",January
EQ-002,Quebec City,Bench,Active,2019,"350.00",February
EQ-003,Levis,Street light,maintenance,2015,"980.00",March
EQ-004,Sherbrooke,fountain,active,1890,"1 500.00",April
EQ-005,Gatineau,Bus shelter,out of service,2018,"2 200.00",May
EQ-006,Quebec City,Bench,active,2028,"400.00",June
EQ-007,Trois-Rivieres,Street light,active,2011,"875.00",July
EQ-008,Levis,Play module,maintenance,2016,"3 100.00",August
EQ-009,Sherbrooke,Bus-shelter,active,2014,"2 000.00",September
EQ-010,Gatineau,Street light,active,2013,"-999",October
EQ-011,Quebec City,Playground module,out of service,2017,"3 500.00",November
EQ-012,Trois-Rivieres,Bench,active,2010,"320.00",December
EQ-013,Levis,Fountain,maintenance,2015,"1 100.00",January
EQ-014,Sherbrooke,Street light,active,2012,"890.00",February
EQ-015,Gatineau,Bench,active,2016,"360.00",March
EQ-016,Quebec City,Bus shelter,maintenance,2014,"2 300.00",April
