evenement_id,titre,type_evenement,theme,region_touristique,municipalite,date_debut,date_fin,site_web_disponible,texte,duree_jours
EVENMTOV5016CZ,Carnaval de Lorrainville,Festival,,Abitibi-Témiscamingue,Lorrainville,2026-01-29,2026-01-31,TRUE,"Carnaval de Lorrainville | | Concert, spectacle|Course de véhicules motorisés|Feux d'artifice",3
EVENMTOV500OOX,Fête d'hiver de Rouyn-Noranda,Festival,,Abitibi-Témiscamingue,Rouyn-Noranda,2026-02-20,2026-02-22,TRUE,Fête d'hiver de Rouyn-Noranda | | Animation pour enfants|Concours / tournoi|Défilé / parade|Exposition|Glissade sur neige|Labyrinthe|Luge d'hiver,3
EVENMTOV500QKR,Salon des vins & saveurs régionales,Salon / foire,,Abitibi-Témiscamingue,Rouyn-Noranda,2026-04-25,2026-04-26,TRUE,Salon des vins & saveurs régionales | | Atelier|Conférence|Dégustation,2
EVENMTOV500QKO,Salon du livre de l'Abitibi-Témiscamingue,Salon / foire,Littérature et poésie,Abitibi-Témiscamingue,Val-D'or,2026-05-21,2026-05-24,TRUE,Salon du livre de l'Abitibi-Témiscamingue | Littérature et poésie | Animation pour enfants|Conférence|Exposition,4
EVENMTOV500O7W,Festival des Guitares du Monde en Abitibi-Témiscamingue,Festival,Musique,Abitibi-Témiscamingue,Rouyn-Noranda,2026-05-23,2026-05-30,TRUE,"Festival des Guitares du Monde en Abitibi-Témiscamingue | Musique | Concert, spectacle|Exposition",8
EVENMTOV5016DP,Pow-Wow de Pikogan,Festival,Culture autochtone,Abitibi-Témiscamingue,Amos,2026-06-06,2026-06-07,TRUE,Pow-Wow de Pikogan | Culture autochtone | Danse|Interprétation de la culture autochtone,2
EVENMTOV503KA4,Festival MAMA8I NIKAMO,Festival,Chanson|Culture autochtone|Musique,Abitibi-Témiscamingue,Amos,2026-06-11,2026-06-13,TRUE,Festival MAMA8I NIKAMO | Chanson|Culture autochtone|Musique |,3
EVENMTOV500RWR,Festival équestre et Rodéo professionnel de La Sarre,Festival,,Abitibi-Témiscamingue,La Sarre,2026-06-18,2026-06-22,TRUE,"Festival équestre et Rodéo professionnel de La Sarre | | Animation pour enfants|Concert, spectacle|Concours / tournoi|Démonstration|Exposition|Mini-ferme",5
EVENMTOV500QK9,Salon des Arts en Nord,Marché de Noël,Noël,Baie-James,Chibougamau,2025-11-22,2025-11-23,TRUE,Salon des Arts en Nord | Noël | Exposition,2
EVENMTOV500STG,Festival Folifrets Baie-James,Festival,,Baie-James,Chibougamau,2026-02-26,2026-03-07,TRUE,"Festival Folifrets Baie-James | | Activités foraines|Animation pour enfants|Concert, spectacle|Concours / tournoi|Glissade sur neige|Karaoké|Quilles",10
EVENMTOV500PXP,Festival du Doré Baie-James,Festival,,Baie-James,Chapais,2026-06-25,2026-07-04,TRUE,"Festival du Doré Baie-James | | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Dégustation",10
EVENMTOV500OQK,Festival en août,Festival,,Baie-James,Chibougamau,2026-07-30,2026-08-01,TRUE,"Festival en août | | Animation pour enfants|Concert, spectacle|Concours / tournoi|Défilé / parade|Dégustation|Démonstration|Exposition",3
EVENMTOV500SAT,RikiFest l'Hivernale,Festival,Sports et plein air,Bas-Saint-Laurent,Rimouski,2026-01-31,2026-02-07,TRUE,"RikiFest l'Hivernale | Sports et plein air | Animation pour enfants|Concert, spectacle|Concours / tournoi|Danse|Dégustation|Démonstration|Interprétation / observation de la nature|Jeu de laser",8
EVENMTOV500SL6,Festival Vues dans la tête de...,Festival,,Bas-Saint-Laurent,Rivière-Du-Loup,2026-02-12,2026-02-15,TRUE,"Festival Vues dans la tête de... | | Atelier|Concert, spectacle|Concours / tournoi|Conférence|Exposition|Films, projection",4
EVENMTOV500S3C,Snowmission - La grande fête du snowboard,Manifestation sportive,Sports et plein air,Bas-Saint-Laurent,Saint-Donat (Paroisse),2026-03-13,2026-03-15,TRUE,"Snowmission - La grande fête du snowboard | Sports et plein air | Animation pour enfants|Atelier|Concert, spectacle|Concours / tournoi|Dégustation|Démonstration",3
EVENMTOV500SDC,Le Salon de Rivière-du-Loup,Salon / foire,,Bas-Saint-Laurent,Rivière-Du-Loup,2026-03-20,2026-03-22,TRUE,Le Salon de Rivière-du-Loup | | Animation pour enfants|Dégustation|Exposition|Trampoline,3
EVENMTOV500T8Q,Festival de la chanson et de l'humour Le Tremplin de Dégelis,Festival,Musique,Bas-Saint-Laurent,Dégelis,2026-05-11,2026-05-17,TRUE,"Festival de la chanson et de l'humour Le Tremplin de Dégelis | Musique | Atelier|Concert, spectacle|Concours / tournoi|Exposition",7
EVENMTOV503J8R,Musique Fest Premier Tech,Festival,Musique,Bas-Saint-Laurent,Rivière-Du-Loup,2026-06-11,2026-06-13,TRUE,"Musique Fest Premier Tech | Musique | Concert, spectacle",3
EVENMTOV503SVV,Soirées de contes et légendes Wolastoqey,"Concert, spectacle",,Bas-Saint-Laurent,Cacouna,2026-06-19,2026-09-06,TRUE,Soirées de contes et légendes Wolastoqey | | Contes et légendes|Dégustation|Interprétation / observation de la nature|Interprétation de la culture autochtone,80
EVENMTOV500OH0,Festival Country Saint-Antonin,Festival,,Bas-Saint-Laurent,Saint-Antonin,2026-06-25,2026-06-28,TRUE,"Festival Country Saint-Antonin | | Animation pour enfants|Concert, spectacle|Concours / tournoi|Mini-ferme",4
EVENMTOV501H6T,Plaisirs d'hiver à Eastman,Fête populaire,,Cantons-de-l'Est,Eastman,2023-01-01,2023-01-01,TRUE,Plaisirs d'hiver à Eastman | |,1
EVENMTOV501H6D,Pâques à la montagne,Fête populaire,,Cantons-de-l'Est,Sutton,2024-03-29,2024-04-01,TRUE,Pâques à la montagne | |,4
