comment_id,month,district,service,comment,satisfaction,clarity,wait_time
B001,1,Sainte-Foy,Desk,"Accueil tres clair et rapide, le personnel m'a bien orientee.",5,5,4
B002,1,Limoilou,Reservation,"La reservation en ligne est pratique mais le courriel de confirmation est confus.",3,2,3
B003,1,Charlesbourg,Workshop,"Atelier motivant, j'ai appris a chercher des livres numeriques.",5,4,4
B004,1,Beauport,Desk,"Attente longue avant de recevoir de l'aide, mais la reponse etait utile.",3,4,2
B005,2,Sainte-Foy,Loan,"Le systeme d'emprunt automatique fonctionne bien et le message est clair.",5,5,5
B006,2,Limoilou,Workshop,"Trop d'information en peu de temps, je me suis senti depasse.",2,2,3
B007,2,Charlesbourg,Reservation,"Interface simple, reservation rapide, experience agreable.",5,5,5
B008,2,Beauport,Desk,"Le personnel est disponible, mais l'espace est bruyant.",4,4,3
B009,3,Sainte-Foy,Workshop,"Bonne activite, exemples concrets et rythme confortable.",5,5,4
B010,3,Limoilou,Loan,"La borne etait en panne, cela a rendu la visite frustrante.",2,3,1
B011,3,Charlesbourg,Desk,"Service chaleureux, explications utiles pour trouver les ressources.",5,5,4
B012,3,Beauport,Reservation,"Je n'ai pas compris pourquoi ma reservation a ete annulee.",2,2,2
B013,4,Sainte-Foy,Desk,"Tres bon suivi, la personne a reformule ma question avec patience.",5,5,5
B014,4,Limoilou,Workshop,"Atelier interessant mais trop rapide pour les personnes debutantes.",3,3,3
B015,4,Charlesbourg,Loan,"Emprunt simple, retour facile, aucune difficulte.",5,5,5
B016,4,Beauport,Reservation,"Site lent et messages peu clairs, j'ai abandonne la demarche.",1,1,1
B017,5,Sainte-Foy,Workshop,"J'ai aime les exercices pratiques et les conseils personnalises.",5,5,4
B018,5,Limoilou,Desk,"Bonne aide au comptoir, mais attente encore longue.",3,4,2
B019,5,Charlesbourg,Reservation,"Reservation efficace et rappel utile avant l'echeance.",5,5,5
B020,5,Beauport,Loan,"La borne fonctionne, mais l'ecran manque de contraste.",3,3,4
B021,6,Sainte-Foy,Reservation,"Le rappel automatique m'a aide, tout etait clair.",5,5,5
B022,6,Limoilou,Desk,"Je suis reparti sans reponse precise, experience decevante.",2,2,2
B023,6,Charlesbourg,Workshop,"Activite tres stimulante, j'aimerais une suite.",5,5,4
B024,6,Beauport,Desk,"Service correct, mais les consignes d'inscription restent floues.",3,2,3
