date,category,product,unit_price,quantity,discount,satisfaction
2026-01-15,stationery,notebook,4.50,80,0.00,4
2026-01-15,stationery,pen,1.75,120,0.05,4
2026-01-15,food,coffee,2.25,210,0.00,5
2026-01-15,food,sandwich,6.75,55,0.10,3
2026-01-16,technology,usb_key,12.00,18,0.15,4
2026-01-16,technology,headphones,28.00,9,0.20,3
2026-01-16,clothing,sweater,32.00,14,0.00,5
2026-01-16,clothing,winter_hat,18.00,22,0.10,4
2026-01-17,stationery,highlighter,2.10,64,0.00,4
2026-01-17,food,soup,4.25,47,0.05,3
2026-01-17,technology,charger,19.50,11,0.10,2
2026-01-17,clothing,gloves,16.00,17,0.00,4
