neighbourhood,report_type,month,n_reports,public_detail_level,public_comment
Saint-Roch,noise,2026-01,42,neighbourhood,"Increase observed near several construction sites."
Saint-Roch,housing,2026-01,18,neighbourhood,"Reports grouped to avoid a precise address."
Limoilou,noise,2026-01,31,neighbourhood,"Dense urban context."
Limoilou,waste,2026-01,26,neighbourhood,"Several streets involved."
Sainte-Foy,transport,2026-01,54,neighbourhood,"Reports around major roads."
Sainte-Foy,housing,2026-01,9,neighbourhood,"Small count to interpret carefully."
Beauport,waste,2026-01,23,neighbourhood,"Reports are dispersed."
Beauport,transport,2026-01,17,neighbourhood,"No individual location."
Charlesbourg,noise,2026-01,12,neighbourhood,"Small count."
Charlesbourg,housing,2026-01,7,suppress,"Count too small to publish detail."
La Cite-Limoilou,safety,2026-01,5,suppress,"Count too small to publish detail."
Sillery,housing,2026-01,3,suppress,"Risk of local stigmatization."
